what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1217757762171
started,bundle,org.eclipse.jdt.core,3.4.0.v_874,org.eclipse.jdt.core,1217757762671
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1217757762890
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757763140
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1217757763171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757767046
opened,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217757768312
closed,editor,net.sourceforge.veditor,0.6.1,net.sourceforge.veditor.editor.VhdlEditor,1217757768328
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757768359
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1217757768359
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757769546
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757774234
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757777562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757870656
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1217757870656
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757872375
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757873812
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757873875
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217757874125
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1217757874171
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1217757874171
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1217757874187
