what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757918781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1217757918781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757920375
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757920375
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757920515
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757959593
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757963109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217757992890
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1217757992890
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217758002203
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217758035656
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217758042656
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217758083687
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1217758083968
started,bundle,org.eclipse.jdt.core,3.4.0.v_874,org.eclipse.jdt.core,1217758084140
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1217758084140
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1217758084343
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1217758084375
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217758084437
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217758084468
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1217758084593
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1217758084609
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1217758084609
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1217758084609
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1217758084609
